,year_film,year_ceremony,ceremony,category,name,film,winner
6261,1984,1985,57,ACTOR IN A SUPPORTING ROLE,Ralph Richardson,"Greystoke: The Legend of Tarzan, Lord of the Apes",False
6366,1985,1986,58,ACTOR IN A SUPPORTING ROLE,Don Ameche,Cocoon,True
6367,1985,1986,58,ACTOR IN A SUPPORTING ROLE,Klaus Maria Brandauer,Out of Africa,False
6368,1985,1986,58,ACTOR IN A SUPPORTING ROLE,William Hickey,Prizzi's Honor,False
6369,1985,1986,58,ACTOR IN A SUPPORTING ROLE,Robert Loggia,Jagged Edge,False
6370,1985,1986,58,ACTOR IN A SUPPORTING ROLE,Eric Roberts,Runaway Train,False
6474,1986,1987,59,ACTOR IN A SUPPORTING ROLE,Tom Berenger,Platoon,False
6475,1986,1987,59,ACTOR IN A SUPPORTING ROLE,Michael Caine,Hannah and Her Sisters,True
6476,1986,1987,59,ACTOR IN A SUPPORTING ROLE,Willem Dafoe,Platoon,False
6477,1986,1987,59,ACTOR IN A SUPPORTING ROLE,Denholm Elliott,A Room with a View,False
6478,1986,1987,59,ACTOR IN A SUPPORTING ROLE,Dennis Hopper,Hoosiers,False
6581,1987,1988,60,ACTOR IN A SUPPORTING ROLE,Albert Brooks,Broadcast News,False
6582,1987,1988,60,ACTOR IN A SUPPORTING ROLE,Sean Connery,The Untouchables,True
6583,1987,1988,60,ACTOR IN A SUPPORTING ROLE,Morgan Freeman,Street Smart,False
6584,1987,1988,60,ACTOR IN A SUPPORTING ROLE,Vincent Gardenia,Moonstruck,False
6585,1987,1988,60,ACTOR IN A SUPPORTING ROLE,Denzel Washington,Cry Freedom,False
6683,1988,1989,61,ACTOR IN A SUPPORTING ROLE,Alec Guinness,Little Dorrit,False
6684,1988,1989,61,ACTOR IN A SUPPORTING ROLE,Kevin Kline,A Fish Called Wanda,True
6685,1988,1989,61,ACTOR IN A SUPPORTING ROLE,Martin Landau,Tucker The Man and His Dream,False
6686,1988,1989,61,ACTOR IN A SUPPORTING ROLE,River Phoenix,Running on Empty,False
6687,1988,1989,61,ACTOR IN A SUPPORTING ROLE,Dean Stockwell,Married to the Mob,False
6789,1989,1990,62,ACTOR IN A SUPPORTING ROLE,Danny Aiello,Do the Right Thing,False
6790,1989,1990,62,ACTOR IN A SUPPORTING ROLE,Dan Aykroyd,Driving Miss Daisy,False
6791,1989,1990,62,ACTOR IN A SUPPORTING ROLE,Marlon Brando,A Dry White Season,False
6792,1989,1990,62,ACTOR IN A SUPPORTING ROLE,Martin Landau,Crimes and Misdemeanors,False
6793,1989,1990,62,ACTOR IN A SUPPORTING ROLE,Denzel Washington,Glory,True
6894,1990,1991,63,ACTOR IN A SUPPORTING ROLE,Bruce Davison,Longtime Companion,False
6895,1990,1991,63,ACTOR IN A SUPPORTING ROLE,Andy Garcia,"The Godfather, Part III",False
6896,1990,1991,63,ACTOR IN A SUPPORTING ROLE,Graham Greene,Dances With Wolves,False
6897,1990,1991,63,ACTOR IN A SUPPORTING ROLE,Al Pacino,Dick Tracy,False
6898,1990,1991,63,ACTOR IN A SUPPORTING ROLE,Joe Pesci,Good Fellas,True
7002,1991,1992,64,ACTOR IN A SUPPORTING ROLE,Tommy Lee Jones,JFK,False
7003,1991,1992,64,ACTOR IN A SUPPORTING ROLE,Harvey Keitel,Bugsy,False
